DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
KE201400000001,KEGE71FL,KE,2014.0,1.0,KE2014DHS,220427.03125,251476.4375,287157.25,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.32577055150812323,0.3924285715276545,0.4962143898010254,28.85727310180664,27.983333587646484,26.55666732788086,28.251667022705078,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4,3262,3265,3175,3113,3391,3198,3349,0.0,0.0,0.0,0.0,87.75,3506.93310546875,8,5.373754978179932,-9999,-9999,-9999,21.40636444091797,21.20916748046875,20.324167251586914,21.775833129882812,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,19.16350897427263,14.091666221618652,15.300000190734863,13.95545482635498,14.4350004196167,14.091666221618652,15.300000190734863,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,120257.6723,6826.680694,66060.56151,848,1005,820,562,696,1049,952,0.9084188938140869,3.0,3.0,3.0,19.608999252319336,16.424999237060547,18.405000686645508,19.617000579833984,18.875,16.209999084472656,17.187999725341797,19.98699951171875,18.645000457763672,18.856000900268555,19.093000411987305,17.836000442504883,11.375,0.0,1781.8309895833333,2027.5020833333333,2313.0963541666665,2641.290625,168990.59375,200907.984375,238145.046875,280625.6875,12276.38671875,14595.0380859375,17300.138671875,20386.16015625,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000002,KEGE71FL,KE,2014.0,2.0,KE2014DHS,166939.09375,190454.15625,217476.8125,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.25388352687542254,0.3086092288677509,0.4019337434035081,28.85727310180664,27.983333587646484,26.55666732788086,28.251667022705078,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,3262,3265,3175,3113,3391,3198,3349,0.0,0.0,0.0,0.0,85.5,3506.93310546875,8,5.373754978179932,-9999,-9999,-9999,21.40636444091797,21.20916748046875,20.324167251586914,21.775833129882812,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,17.71388373940678,14.091666221618652,15.300000190734863,13.95545482635498,14.4350004196167,14.091666221618652,15.300000190734863,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,120936.0207,6966.055207,66118.7009,848.0,1005.0,820.0,562.0,696.0,1049.0,952.0,0.9077035188674927,3.0,3.0,3.0,19.608999252319336,16.424999237060547,18.405000686645508,19.617000579833984,18.875,16.209999084472656,17.187999725341797,19.98699951171875,18.645000457763672,18.856000900268555,19.093000411987305,17.836000442504883,10.5,0.0,1524.911328125,1735.1595052083333,1979.5743489583333,2260.446875,144370.78125,171638.46875,203450.625,239742.34375,10487.8623046875,12468.732421875,14779.7373046875,17416.16015625,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000003,KEGE71FL,KE,2014.0,3.0,KE2014DHS,261200.78125,297993.5625,340274.4375,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.32150760063758266,0.400233635535607,0.4986587671133188,30.05181884765625,28.459999084472656,26.469999313354492,27.88166618347168,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4,2851,2918,2883,2916,3316,3319,3458,0.0,0.0,0.0,0.0,85.0625,3506.93310546875,8,5.952400207519531,-9999,-9999,-9999,21.025455474853516,20.450834274291992,19.27916717529297,20.174165725708008,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,18.241888638200432,12.088333129882812,12.466666221618652,11.999091148376465,12.441666603088379,12.088333129882812,12.466666221618652,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,120172.7286,7510.935058,65300.63009,905,1048,874,598,761,1097,1085,0.9503940939903259,3.0,3.0,3.0,18.71000099182129,15.725000381469727,17.773000717163086,18.650999069213867,18.20199966430664,15.145999908447266,16.05699920654297,19.04800033569336,17.70400047302246,17.90799903869629,18.16900062561035,16.95599937438965,12.25,0.0,2207.959435096154,2512.383112980769,2866.2782451923076,3272.9603365384614,177580.78125,211120.515625,250250.375,294890.40625,12900.4169921875,15336.9248046875,18179.525390625,21422.416015625,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000004,KEGE71FL,KE,2014.0,4.0,KE2014DHS,44286.3984375,50524.5859375,57693.27734375,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.04679312876292637,0.07031766857419695,0.08910918235778809,31.595455169677734,27.141666412353516,25.1200008392334,26.3700008392334,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,2658,2650,2662,2814,3282,3256,3462,0.0,0.0,0.0,0.0,61.57142857142857,3506.93310546875,8.0,5.952400207519531,-9999,-9999,-9999,21.490909576416016,19.35333251953125,18.412500381469727,19.09749984741211,26.835359845842635,2001.810546875,2.7950335911342075,97.78470284598214,9.137176513671875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,4.152706208776255,11.704999923706055,11.824999809265137,11.386363983154297,11.5649995803833,11.704999923706055,11.824999809265137,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,117447.6583,10635.40248,62065.04563,897,1056,873,572,763,1081,1111,0.8827434267316546,3.0,3.0,3.0,18.71000099182129,15.725000381469727,17.773000717163086,18.650999069213867,18.20199966430664,15.145999908447266,16.05699920654297,19.04800033569336,17.70400047302246,17.90799903869629,18.16900062561035,16.95599937438965,21.214285714285715,0.0,364.18857421875,414.40130208333335,472.7738932291667,539.8535807291667,37621.625,43617.4296875,50522.08984375,58286.54296875,3123.469308035714,3621.2606026785716,4194.508370535715,4839.138950892857,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000005,KEGE71FL,KE,2014.0,5.0,KE2014DHS,198145.4375,226056.21875,258130.28125,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.24769806861877441,0.3121050921353427,0.4067929007790305,30.05181884765625,28.459999084472656,26.469999313354492,27.88166618347168,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,2851,2918,2883,2916,3316,3319,3458,0.0,0.0,0.0,0.0,78.66666666666667,3506.93310546875,8,5.952400207519531,-9999,-9999,-9999,21.025455474853516,20.450834274291992,19.27916717529297,20.174165725708008,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,15.378392373361896,12.088333129882812,12.466666221618652,11.999091148376465,12.441666603088379,12.088333129882812,12.466666221618652,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,120751.9877,8390.593066,64454.97429,905,1048,874,598,761,1097,1085,1.2298643747965494,3.0,3.0,3.0,18.71000099182129,15.725000381469727,17.773000717163086,18.650999069213867,18.20199966430664,15.145999908447266,16.05699920654297,19.04800033569336,17.70400047302246,17.90799903869629,18.16900062561035,16.95599937438965,13.466666666666667,0.0,1924.6544270833333,2190.0171875,2498.5036458333334,2853.0041666666666,130582.671875,155245.640625,184018.828125,216844.65625,10118.622916666667,12029.714583333332,14259.298958333333,16802.914583333335,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000006,KEGE71FL,KE,2014.0,6.0,KE2014DHS,44617.3203125,50902.12109375,58124.3828125,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.05232877456224882,0.06825263225115262,0.09476031706883357,30.05181884765625,28.459999084472656,26.469999313354492,27.88166618347168,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4,2851.0,2918.0,2883.0,2916.0,3316.0,3319.0,3458.0,0.0,0.0,0.0,0.0,60.142857142857146,3506.93310546875,8.0,5.952400207519531,-9999,-9999,-9999,21.025455474853516,20.450834274291992,19.27916717529297,20.174165725708008,60.06563023158482,996.3783482142857,5.870522090366909,309.86293247767856,19.205982753208705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,6.242848714192708,12.088333129882812,12.466666221618652,11.999091148376465,12.441666603088379,12.088333129882812,12.466666221618652,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,119857.9402,11134.93373,61413.65264,905,1048,874,598,761,1097,1085,1.259549822126116,3.0,3.0,3.0,18.71000099182129,15.725000381469727,17.773000717163086,18.650999069213867,18.20199966430664,15.145999908447266,16.05699920654297,19.04800033569336,17.70400047302246,17.90799903869629,18.16900062561035,16.95599937438965,19.642857142857142,0.0,395.84869791666665,450.4265950520833,513.87373046875,586.7848307291666,49264.93359375,54739.7265625,60815.8828125,67364.2734375,4090.10546875,4544.637834821428,5049.097098214285,5592.762276785715,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000007,KEGE71FL,KE,2014.0,7.0,KE2014DHS,6846.337890625,7810.7138671875,8918.939453125,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.007776826620101929,0.014828115701675415,0.02045301290658804,32.76454544067383,28.7016658782959,26.111665725708008,27.100000381469727,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,2831,2840,2687,2684,2931,2661,2889,0.0,0.0,0.0,0.0,62.666666666666664,3506.93310546875,8,3.772926092147827,-9999,-9999,-9999,22.110000610351562,20.1825008392334,18.894166946411133,19.699167251586914,0.0,2615.4265625,0.0,139.48414713541666,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,2.691741943359375,11.676666259765625,12.298333168029785,11.45545482635498,11.66333293914795,11.676666259765625,12.298333168029785,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,111550.775,7561.843998,62451.52291,831,987,772,551,748,1025,1030,0.6828221638997396,0.0,1.0,1.0,18.892000198364258,15.927000045776367,17.972999572753906,18.80699920654297,18.43000030517578,15.267000198364258,16.211999893188477,19.260000228881836,17.856000900268555,18.121999740600586,18.433000564575195,17.125,24.133333333333333,4.066666666666666,55.58313424246652,63.246695382254465,72.15563092912946,82.39345005580357,8567.09765625,10110.3154296875,11896.513671875,13915.96484375,663.8678385416666,783.45234375,921.8655598958334,1078.3536458333333,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000008,KEGE71FL,KE,2014.0,8.0,KE2014DHS,297103.84375,338953.9375,387046.46875,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.38326226747952974,0.4184074401855469,0.503508421090933,30.58818244934082,28.729999542236328,26.758333206176758,28.613332748413086,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,2773.0,2786.0,2607.0,2748.0,2941.0,2762.0,2737.0,0.0,0.0,0.0,0.0,91.28571428571429,3506.93310546875,8,5.373754978179932,-9999,-9999,-9999,21.85727310180664,21.273332595825195,20.0766658782959,21.717500686645508,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,26.38814493815104,13.395000457763672,14.821666717529297,13.126363754272461,13.816666603088379,13.395000457763672,14.821666717529297,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,119154.6668,2779.689133,70897.35072,856.0,987.0,776.0,576.0,716.0,1058.0,994.0,0.744027818952288,3.0,3.0,3.0,19.608999252319336,16.424999237060547,18.405000686645508,19.617000579833984,18.875,16.209999084472656,17.187999725341797,19.98699951171875,18.645000457763672,18.856000900268555,19.093000411987305,17.836000442504883,8.214285714285714,0.0,2365.690364583333,2691.8614583333333,3071.0377604166665,3506.772395833333,150175.453125,178542.109375,211634.4375,249384.28125,12468.222098214286,14823.345982142857,17570.81473214286,20704.973214285714,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000009,KEGE71FL,KE,2014.0,9.0,KE2014DHS,292895.6875,334153.03125,381564.4375,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.3128507137298584,0.35084969656808035,0.44421209607805523,30.58818244934082,28.729999542236328,26.758333206176758,28.613332748413086,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,2773.0,2786.0,2607.0,2748.0,2941.0,2762.0,2737.0,0.0,0.0,0.0,0.0,86.28571428571429,3506.93310546875,8,5.373754978179932,-9999,-9999,-9999,21.85727310180664,21.273332595825195,20.0766658782959,21.717500686645508,0.0,416.8535853794643,0.0,12.316165379115514,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,23.21527099609375,13.395000457763672,14.821666717529297,13.126363754272461,13.816666603088379,13.395000457763672,14.821666717529297,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,118570.5395,2150.493975,71323.42466,856.0,987.0,776.0,576.0,716.0,1058.0,994.0,0.7366696766444615,3.0,3.0,3.0,19.608999252319336,16.424999237060547,18.405000686645508,19.617000579833984,18.875,16.209999084472656,17.187999725341797,19.98699951171875,18.645000457763672,18.856000900268555,19.093000411987305,17.836000442504883,9.071428571428571,0.0,2395.1774553571427,2725.4143415178573,3109.316964285714,3550.4827008928573,146933.65625,174687.90625,207065.90625,244000.890625,12199.07924107143,14503.35825892857,17191.524553571428,20258.026785714286,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
KE201400000010,KEGE71FL,KE,2014.0,10.0,KE2014DHS,185452.203125,211575.015625,241594.40625,42.625,40.06666946411133,67.09166717529297,85.66666412353516,11.31637191772461,10.38444995880127,18.011186599731445,24.245283126831055,0.33430181230817524,0.3868369034358433,0.4736574036734445,33.08636474609375,31.236665725708008,28.5,30.594999313354492,11.966667175292969,12.074999809265137,11.416666984558105,11.316666603088379,4.0,2241.0,2332.0,2225.0,2170.0,2291.0,2178.0,2184.0,0.0,0.0,0.0,0.0,92.14285714285714,3506.93310546875,8,5.373754978179932,-9999,-9999,-9999,23.48272705078125,22.656665802001953,21.21500015258789,22.947500228881836,0.0,121.10616629464286,0.0,9.297894069126674,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.04166603088379,25.42500114440918,25.20833396911621,25.075000762939453,19.033334732055664,19.358333587646484,19.491666793823242,19.399999618530273,13.074999809265137,13.350000381469727,13.791666984558105,13.758333206176758,24.49210205078125,13.930000305175781,15.300000190734863,13.879091262817383,14.076666831970215,13.930000305175781,15.300000190734863,3.7666666507720947,3.8583333492279053,3.7250001430511475,3.5333333015441895,120206.767,2293.764501,72863.12304,820,958,778,546,674,994,900,0.677872794015067,3.0,3.0,3.0,19.608999252319336,16.424999237060547,18.405000686645508,19.617000579833984,18.875,16.209999084472656,17.187999725341797,19.98699951171875,18.645000457763672,18.856000900268555,19.093000411987305,17.836000442504883,5.857142857142857,0.0,1497.1580636160713,1703.5795200892858,1943.5460379464287,2219.306640625,111115.59375,132103.125,156589.046875,184520.109375,9225.308035714286,10967.785714285714,13000.715401785714,15319.676339285714,8.816666603088379,8.550832748413086,10.480833053588867,13.119166374206543
